listing_id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,city,property_type,room_type,accommodates,bedrooms,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,TV,Internet,Shampoo,Suitable for Events,Washer / Dryer,Pool,Hair Dryer,Smoke Detector,Cable TV,Laptop Friendly Workspace,Cat(s),Doorman,Washer,Heating,Breakfast,Safety Card,Hot Tub,Pets live on this property,Free Parking on Premises,Dryer,Essentials,Iron,Wireless Internet,Dog(s),Pets Allowed,Buzzer/Wireless Intercom,Gym,24-Hour Check-in,Fire Extinguisher,Hangers,Elevator in Building,Other pet(s),Lock on Bedroom Door,Wheelchair Accessible,Indoor Fireplace,Smoking Allowed,Kitchen,First Aid Kit,Air Conditioning,Family/Kid Friendly,Carbon Monoxide Detector,visitors
28073544,"[STUDIO, STAYCATION, EVENT]_¢__â¦ 3 BDs, big and style",192217276,2018.5.29,Puengwarn,within an hour,100%,f,13,t,t,Ratchathewi,Bangkok,Apartment,Entire place,8,3,2047.00$,95,10,9,10,10,10,10,t,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,"[23358353, 46275657, 21822648, 72484051, 146405222, 297862832, 314937273, 106260477, 54843646, 15982885, 1560479, 181278209, 1899825, 160951609, 311763896, 21636826, 171252861, 183307446, 207438560, 101144551, 244022817, 87180553, 337814116, 53023829, 239075109, 26954525, 97626651, 87859117, 16365241, 170197785, 62392559, 49512197, 160455764, 49925474, 51777198, 153841215, 319504847, 275331643, 44248191, 184751401, 87618778, 159267861, 188964362, 48906302, 21947903, 216709072, 188964362, 13204567, 179649794, 44657524, 6618567, 15323042, 171252861, 160651755, 103343791, 159212506, 212814580, 60313890, 24889727, 216709072, 94329831, 160951609, 24763699, 171252861, 171252861, 104073471, 109820546, 17063946, 155994967, 178234423, 63992152, 103343791, 102693132, 19276964, 31276845, 155994967, 127036413, 105412460, 357579712, 96623765, 25452887, 198333856, 24148745, 103658297, 307352905]"
38206606,Charmant studio lumineux avec balcon,267599024,2019.6.10,FR,within a day,100%,f,2,t,t,Observatoire,Paris,Other,Entire place,2,0,45.00$,96,10,10,10,10,10,9,f,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"[248397122, 266566874, 90480972, 242755458, 12889838, 199576332, 62956485, 145200919, 72764269, 84480176, 124877821, 305180897, 100617036, 13555924, 300701832, 11967338, 9494069, 124619074, 83333186, 117289031, 313808071, 115805820, 266112361, 70943860, 3041131, 35319743, 131200146, 9666754, 156887821, 19482920, 220683847, 67591093, 68980879]"
21970259,LARGE PRIVATE ROOM BY EVERYTHING MIDTOWN MANHATTAN,155125855,2017.10.18,"New York, New York, United States",a few days or more,0%,f,3,t,t,Midtown,New York,Apartment,Private room,3,1,130.00$,89,9,9,10,10,10,9,t,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,"[97767239, 20871913, 300043964, 77820174, 229912724, 32827774, 162805273, 113513271, 70775001, 4282041, 284776552, 105461401, 97956814, 12338476, 157142850, 307041695, 199350039, 290945143, 303082823, 304173397, 9765744, 243318960, 223938393, 303919937, 24954928, 110722982, 18762357, 72377623, 124059893, 185411719, 104504768, 310774450, 129274644, 163481386, 161134475, 18494344, 106502722, 170391926, 100961433, 20621837, 46523307, 119956050, 34277233, 25477899, 166880794, 135464175, 133975057, 174541568, 44270537, 190103225, 129256600, 57467580, 161619796, 115258112, 22680259, 102802685, 120346011, 173707504, 133458650, 40869467, 113342274, 27230753, 208542179, 5540860, 93241499, 207865876, 38474296, 9591116, 15718169, 119999801, 307339592, 321707748, 6875442, 177118400, 193869969, 330911915, 153414839, 132402398]"
1277299,PENTHOUSE 5/6 PEOPLE  EIFFEL TOWER,6952166,2013.6.17,"Paris, Ile-de-France, France",within a day,100%,f,2,t,t,Palais-Bourbon,Paris,Apartment,Entire place,6,3,220.00$,92,9,9,10,9,10,9,f,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,"[160066624, 4811499, 199708587, 143363971, 7331330, 16961921, 19935724, 16645123, 34005576, 38409637, 41808872, 69893392, 115372493, 8993416, 302389304, 223570597]"
29331771,Beautiful Camps Bay Home,23052987,2014.10.28,"Cape Town, Western Cape, South Africa",within a few hours,100%,t,1,t,t,Ward 54,Cape Town,House,Entire place,8,4,9300.00$,100,10,10,10,10,10,9,f,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,"[9532626, 222397478, 4048701]"
39610836,Newly renovated! 1st Fl private apt in Bay Ridge,293157326,2019.9.8,"Brooklyn, New York, United States",within a day,100%,f,1,t,t,Fort Hamilton,New York,Apartment,Entire place,4,1,75.00$,87,10,9,9,10,9,9,f,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"[125092507, 151442009, 247823539, 78358294, 304351565, 165422177, 195004212, 1590486, 306294135, 216277533, 309565706, 275660187, 109853394, 300475957, 309895253, 301554378, 300475957, 300475957, 159220144]"
2490315,JOLI STUDIO - au coeur de Paris,12747289,2014.3.3,"Paris, Ile-de-France, France",a few days or more,0%,f,1,t,t,Bourse,Paris,Apartment,Entire place,2,0,40.00$,91,9,9,10,10,10,9,f,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"[102255492, 16011117, 51915785, 138334900, 13448634, 33209713, 162923300, 20747869, 40928991, 82829820, 37324811, 206679145, 208862471, 153901519, 131258226, 67134657, 29100202, 5220808, 50714699, 9850638, 48796407, 998629, 17960532, 48572369, 24721746, 4658650, 14257819, 28728738, 32159882, 9554522, 48340881, 30177471, 31230199, 139300672, 158951378, 183543174, 169074178, 68769315, 204034492, 40132610, 22952535, 287136154, 11258697, 201627270]"
6046605,B3 Inn - Double Bed,31381356,2015.4.17,Hong Kong,within an hour,100%,f,28,t,f,Yau Tsim Mong,Hong Kong,Dorm,Private room,2,1,550.00$,95,10,9,10,9,10,9,f,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,"[28408402, 62610442, 48471693, 67697523, 29293583, 55849952, 10448694, 34873572, 34878237, 35133703, 38307098, 19141513, 41352103, 41608203, 40010347, 42448652, 42879481, 32968017, 32968017, 41886644, 15503646, 27067912, 36178328, 42577588, 50613067, 3475358, 26206361, 43460875, 1201568, 44751988, 47151424, 51371791, 21905523, 96164502, 97870048, 98128473, 78531308, 100183251, 67990803, 10164086, 90680246, 5388342, 96966059, 159536068, 3550694, 177431251, 219490201, 92718899]"
28146948,Tournelles / Bastille / Studette / BAIL MOBILIT__â°,176527828,2018.3.4,"Anglet, Nouvelle-Aquitaine, France",within an hour,100%,f,51,t,t,Hotel-de-Ville,Paris,Condominium,Entire place,2,0,39.00$,82,9,8,9,9,10,7,f,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"[11947734, 134872920, 221204654, 121663513, 97478135, 118511372, 322960313, 96205382, 369517553]"
46337552,Flat em Apart Hotel na Praia. Vista pro mar!,14343060,2014.4.16,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within an hour,100%,f,2,t,t,Recreio dos Bandeirantes,Rio de Janeiro,Condominium,Entire place,4,1,250.00$,100,10,10,10,10,10,10,t,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,[112886273]
